method,variant,dataset,size,distribution,decode,seed,n,mean_objective,std_objective,avg_runtime_sec,total_runtime_sec,sources
Heter,baseline,pdp10_test_clustered_std0.1_seed10000_n10000,10,clustered,Greedy,10000,10000,2.377013972830772,0.23526358914029008,3.802258968353085e-05,0.3802258968353085,results/raw/heter\heter_pdp10_clustered_greedy.csv
Heter,baseline,pdp10_test_clustered_std0.1_seed10000_n10000,10,clustered,Sampling-1280,10000,10000,2.242450078308582,0.20663452992845135,0.011867137026786804,118.67137026786804,results/raw/heter\heter_pdp10_clustered_sampling_1280.csv
Heter,baseline,pdp10_test_clustered_std0.1_seed10000_n10000,10,clustered,Sampling-12800,10000,10000,2.2363259397387503,0.20587602235052554,0.08164565896987915,816.4565896987915,results/raw/heter\heter_pdp10_clustered_sampling_12800.csv
Heter,baseline,pdp10_test_uniform_seed10000_n10000,10,uniform,Greedy,10000,10000,3.4740482783436777,0.47156029179539866,3.898396492004288e-05,0.3898396492004288,results/raw/heter\heter_pdp10_uniform_greedy.csv
Heter,baseline,pdp10_test_uniform_seed10000_n10000,10,uniform,Sampling-1280,10000,10000,3.3707120913386346,0.43102180916362987,0.011949525690078735,119.49525690078735,results/raw/heter\heter_pdp10_uniform_sampling_1280.csv
Heter,baseline,pdp10_test_uniform_seed10000_n10000,10,uniform,Sampling-12800,10000,10000,3.3620743310570718,0.42653938022857707,0.08173540635108947,817.3540635108948,results/raw/heter\heter_pdp10_uniform_sampling_12800.csv
Heter,baseline,pdp20_test_clustered_std0.1_seed10000_n10000,20,clustered,Greedy,10000,10000,3.0507953373908996,0.2757802294317753,5.356612205505531e-05,0.5356612205505531,results/raw/heter\heter_pdp20_clustered_greedy.csv
Heter,baseline,pdp20_test_clustered_std0.1_seed10000_n10000,20,clustered,Sampling-1280,10000,10000,2.922658707213402,0.2309711789687992,0.018706740832328796,187.06740832328796,results/raw/heter\heter_pdp20_clustered_sampling_1280.csv
Heter,baseline,pdp20_test_clustered_std0.1_seed10000_n10000,20,clustered,Sampling-12800,10000,10000,2.853509598565102,0.22480605911163273,0.1457569108724594,1457.5691087245941,results/raw/heter\heter_pdp20_clustered_sampling_12800.csv
Heter,baseline,pdp20_test_uniform_seed10000_n10000,20,uniform,Greedy,10000,10000,5.115477221274376,0.5212685203434668,5.296986103058217e-05,0.5296986103058217,results/raw/heter\heter_pdp20_uniform_greedy.csv
Heter,baseline,pdp20_test_uniform_seed10000_n10000,20,uniform,Sampling-1280,10000,10000,4.740816409897804,0.42103840757248095,0.01850095503330231,185.00955033302307,results/raw/heter\heter_pdp20_uniform_sampling_1280.csv
Heter,baseline,pdp20_test_uniform_seed10000_n10000,20,uniform,Sampling-12800,10000,10000,4.698466792583465,0.4128875178522533,0.14648994405269622,1464.8994405269623,results/raw/heter\heter_pdp20_uniform_sampling_12800.csv
Heter,baseline,pdp40_test_clustered_std0.1_seed10000_n10000,40,clustered,Greedy,10000,10000,4.88790213534832,0.5195255544191064,8.232247829437309e-05,0.8232247829437309,results/raw/heter\heter_pdp40_clustered_greedy.csv
Heter,baseline,pdp40_test_clustered_std0.1_seed10000_n10000,40,clustered,Sampling-1280,10000,10000,4.846915184140205,0.32770738742478356,0.03425840594768524,342.5840594768524,results/raw/heter\heter_pdp40_clustered_sampling_1280.csv
Heter,baseline,pdp40_test_clustered_std0.1_seed10000_n10000,40,clustered,Sampling-12800,10000,10000,4.653876161026955,0.31043109589530715,0.3042011356115341,3042.011356115341,results/raw/heter\heter_pdp40_clustered_sampling_12800.csv
Heter,baseline,pdp40_test_uniform_seed10000_n10000,40,uniform,Greedy,10000,10000,7.50804537358284,0.5220802648522802,8.224077224731392e-05,0.8224077224731392,results/raw/heter\heter_pdp40_uniform_greedy.csv
Heter,baseline,pdp40_test_uniform_seed10000_n10000,40,uniform,Sampling-1280,10000,10000,7.142806014108658,0.4493929076762545,0.03441547496318817,344.1547496318817,results/raw/heter\heter_pdp40_uniform_sampling_1280.csv
Heter,baseline,pdp40_test_uniform_seed10000_n10000,40,uniform,Sampling-12800,10000,10000,7.085621346378327,0.4398166765736522,0.303326236987114,3033.2623698711395,results/raw/heter\heter_pdp40_uniform_sampling_12800.csv
Heter,baseline,pdp80_test_clustered_std0.1_seed10000_n10000,80,clustered,Greedy,10000,10000,7.079297800159455,1.1926649266280316,0.00016114070415496293,1.6114070415496293,results/raw/heter\heter_pdp80_clustered_greedy.csv
Heter,baseline,pdp80_test_clustered_std0.1_seed10000_n10000,80,clustered,Sampling-1280,10000,10000,9.055553709125519,0.4389089634443634,0.0896858924150467,896.8589241504669,results/raw/heter\heter_pdp80_clustered_sampling_1280.csv
Heter,baseline,pdp80_test_clustered_std0.1_seed10000_n10000,80,clustered,Sampling-12800,10000,10000,8.604721213769913,0.37203185689963764,0.8564049270629883,8564.049270629883,results/raw/heter\heter_pdp80_clustered_sampling_12800.csv
Heter,baseline,pdp80_test_uniform_seed10000_n10000,80,uniform,Greedy,10000,10000,10.960692682933807,0.5744229048952121,0.00016450748443603587,1.6450748443603587,results/raw/heter\heter_pdp80_uniform_greedy.csv
Heter,baseline,pdp80_test_uniform_seed10000_n10000,80,uniform,Sampling-1280,10000,10000,10.511673091888428,0.48486376239371753,0.08907654254436492,890.7654254436493,results/raw/heter\heter_pdp80_uniform_sampling_1280.csv
Heter,baseline,pdp80_test_uniform_seed10000_n10000,80,uniform,Sampling-12800,10000,10000,10.40953224620819,0.47472895763343725,0.857292137503624,8572.92137503624,results/raw/heter\heter_pdp80_uniform_sampling_12800.csv
